text,expected,predicted
"Шовинистические пидораны
",1.0,1.0
"Короч, еще пару плюсов в карму этого производителя. Купил сыну часы такие, для первого класса норм. Трекер, позвонить можно на них, камера на крайняк. И через 10 месчцев перестала работать одна кнопка. Отнес по гаратнии, ждал долгого ремонта. Но нет - позвонили через дней 10, сказали приезжайте заберите новые. Что было немедленно сделано. Риальне новые часы с новым айди в заводской упаковочке. Крч спс от ЛЛ ) Нивкоем не реклама, часы хороши по отношению цена качество. Есть куча более крутых моделей.
",0.0,0.0
"Любые пожертвования - через ККМ, чтобы считаться верующим (чтоб потом оскорбляться) - плати партвзносы, десятину например.
",0.0,0.0
"Дихлорэтан крайне токсичен! Найдутся ведь умники, которые будут работать с ним в помещении и голыми руками.
",1.0,0.0
"интелегентное лицо, кимано, на гране, на его зоне и всё остальное. Недоучка-графоман.
",1.0,1.0
"Хз, это байки, что люди на дорогих машинах как-то хуёво ездят. Это исключения вида насосал(-а) на машину . Как раз-таки умеют такие люди водить с 16-18 лет, и ездят быстро, но с поворотниками, приоритетами и по правильным полосам. Откуда вы берете эти килотонны историй про хамло на дорогих машинах? Наоборот, если меня кто пропустил или подождал, это всегда почти машина от 40к бачей. А солярисы хрен подвинутся, еще сигналить будут и включать робота за рулём (еду по правилам, дорожная ситуация не ебёт). Есть у нас в городке одно дурацкое место, где надо проехать по диагонали через 5 полос с правого въезда сразу на левый поворот, иначе ты его пропускаешь. 70 водителей этот прикол знают, дело в деловом центре. Но почти всегда найдется тот, кто будет отчаянно сопротивляться, бибикать, ехать в бочину тебе и провоцировать аварию. И это ВСЕГДА какой-нибудь фокус, санни или кия. Т.е. люди на бентликах и корветах, даже приезжие видят, что человек ломится на поворот, и пропускают. Им нет дела, виноват он или городские власти, они никуда не торопятся.
",0.0,0.0
а папа крайний и у него рейтинг рухнул... ))) А что папе рейтинг? У него должность не выборная и пожизненная.,0.0,1.0
"Ну тут по-разному может быть. Если есть определенный объем работы, который делают за 5 дней спокойно, то за 4 дня чтобы его выдать, возможно, надо будет нихуево так напрячься. Мб кому то и правда проще 5 дней отработать спокойно чем 4 дня с жопой в мыле.
",0.0,0.0
"Честно сказать, никогда не понимала, как можно не знать, что подарить человеку, с которым уже в долгих отношениях или тем более тому, с которым живёшь. Ладно ещё в первый год не совсем понятно, что к чему, но потом-то - в чем проблема?
",0.0,0.0
"Сразу видно, что ты зелень. Сразу видно, что ты не умеешь слушать людей. В любой специальности нужно уметь развиваться и учиться. Я изучал программирование, параллельно работая юристом на полную ставку. Я в своё время закончил два образования (по второму уже в Москве ещё и ряд курсов повышения квалификации и магистратуру столичного ВУЗа осилил), защитил кандидатскую диссертацию и написал научно-популярную книгу. Всё это я сделал, параллельно переехав в Москву. Можно сказать, что я УМЕЮ учиться и развиваться ЛУЧШЕ большинства людей, которых я знаю.
",1.0,1.0
"С одной стороны да, с другой стороны, есть разные носки и разное их количество
",0.0,0.0
"Живу в этом городе, знаю этот район и второго магазина пятерочка(тот что справа на фото) не припоминаю. Думаю что фэйк.
",0.0,0.0
"Разбить окно можно аккуратно, сигналка максимум пикнет раз.
",0.0,0.0
"И пукнутого коноеба выгнать.
",1.0,1.0
"Вот у тебя хорошая зп, отсюда и надо плясать. Если ты её зарабатываешь своим умом и трудом, а не просто присваиваешь, то хвала тебе и честь.А теперь поинтересуйся, как много тех, у кого зп просто неприлично мала. Это большая часть населения страны. Вполне себе работающая, занятая часть, не тунеядцы, но бедные, читай - нищие, работающие. Я на своё положение пока тоже не жалуюсь, но вижу, что происходит и куда идёт. Не волнуйся, если у тебя пока что всё хорошо, то это не обязательно надолго. Только если ты не сосёшь деньги напрямую из бюджета. А непонимание общей обстановки это и есть слабоумие. Но ничего, бытие определяет сознание. Изменится твоё маленькое бытие и ты очень быстро осознаешь свою солидарность с миллионами тунеядцев и поливателей своей страны дерьмом .
",1.0,1.0
"Бля, вот не будь у меня этого куска говна, может и поверил бы.
",1.0,0.0
"Самое то, после таких водятлов машины покупать. Обои в квартире наверное не меняешь пока не сгниют?
",1.0,0.0
"Если квартира в ипотеке, то она не твоя, а банковская!",0.0,0.0
"Я вот по другому участку не пойму. Участок ИЖС. Получил уведомление, но там прописали два ограничения. Если по первому, с культурным наследием, можно подать онлайн, то как быть со вторым? Не могу найти данную услугу на мос.рег. И касается ли оно ИЖС? Или если не касается даже, то при подаче документов на регистрацию дома столкнусь с проблемой?
",0.0,0.0
"0,3 с коррекцией, т.е в очках или линзах.
",0.0,0.0
"Похоже на развод. Ну или как уже говорили выше: лимит по карте вычтут из возможной суммы по ипотеке, даже если на момент оформления ипотеки не рубля с кредитки не снимал.
",0.0,0.0
"ебать у вас там мозги моют
",1.0,1.0
"А где в курсанты записаться можно?...
",0.0,0.0
"3.5 от ВВП это много, германия тратит 1.2
",0.0,0.0
"Чесно скажу, не нашел способа активировать десятку, а покупать, хоть я и студент, очень дорого, ведь покупать нужно Pro , а домашняя всё время обновляется
",0.0,0.0
"Я в школе, в 87ом году, зарядил что- мол, эту атрибутику фашизма- жгли на Красной Площади. За что получил двойку в четверти. Хотя сам видел это видео по ТВ. ОРТ тогда еще не было.",0.0,0.0
"Как же это ужасно, еще и в квартире наверное.
",0.0,0.0
"У нас просто называешь номер в нужной кабинке, охранник выдает пропуск, потом проводишь пропуском по считывателю чтобы время прихода отметить. При выходе - пробиваешь время снова и сдаешь пропуск. Режимное предприятие.
",0.0,0.0
"нахоризме в роликах подача плотная, можно хоть анекдоты с анекдот.сру вбрасывать - будет забавно.
",0.0,0.0
"Перейдя в учебную группу FSA10 видим, что группа закрыта и что скорее всего она использовалась(используется) для обучения студентов. В группе аж целых 128 человек) И БИНГО! В шапке группы нас ждёт клад, всё тот же сайт: Это может значит только одно, что сайт действительно является настоящим и используется для обучения студентов. Какие мотивы были у автора, чтобы соврать и выстроить ложные обвинения, мне непонятно. Возможно, ныне популярная ловля хайпа на обсирании других, либо чей то заказ - точно мы не узнаем. Лично я вижу такую картину: преподаватель разошёлся с вышеупомянутой академией автора и решил дальше сам продолжать вести курс и обучение. Возможно, была договоренность о первоначальной использовании лицензии, которая осталась у академии. Но видимо, что то пошло не так и академия вздулась на преподавателя да так, что отрицает существование данного курса и сайта)
",0.0,0.0
"Понятно, что шутка, но такая себе. Очень многие косплееры резко против даже шуток на тему игрищ . Но даже если и шутить на эту тему - то хоть как-то жизненно, а косплей носка - это что где откуда? Так что каждому своё, конечно, но мне этот комикс не кажется смешным, а кого-то и вовсе обидит. Да и отвлекаясь от косплея, шутки про носки и 23 февраля уже многим надоели. Поворчать я имею право или нет?)
",0.0,0.0
"У нас ещё на ремонте пильнули, разницу до и после не увидел
",0.0,0.0
"Кто, кроме Сакрамара помнит о свинье гнидине?
",1.0,1.0
"Говорят в гражданскую войну Колчак перед своими так рофлил, а ему его дед рассказывал.
",1.0,1.0
"В институте предстоял экзамен, но шумной компашкой мы смотрели хокейный матч в прямом эфире и пили водку. С самого утра я был в институте со всеми симптомами похмелья и в аудиторию где был экзамен я поехал на лифте и по счастливой случайности преподаватель тоже, пока мы поднимались на нужный этаж, выяснился тот факт что наша группа сдаёт во второй половине дня, в след за этим фраза: Давай зачётку
",0.0,0.0
"Вы там все дебилы, в Кубанойдии своей. Один по встречке гоняет, второй мелкобуквенный, безграмотный хуесос. Жлобы тупые, ненавижу южан, всех типов.
",1.0,0.0
"В каком месте они государственные, это частные компании от которых зависит государство
",0.0,0.0
"а если убрать 3 видео камеры и населения хотябы 1000 человек а не 30 в этом посёлке оставить
",0.0,0.0
"Позорная разруха, позорУха
",1.0,1.0
"лучше скажи мне нахуй кто-то смотрит эти дёргания инвалидки по несколько часов ты смотришь, долбоеб, ведь ты знаешь сколько ей задонатили до последнего рубля парализованная ДЦП-шница единственный дцпшник на голову - это ты
",1.0,1.0
"Даже эдик интеллигент на фоне этого отталкивающего имбецила дрожжина. Кстати ведь это двач быдлобилля и зафорсил. Помню эти треды, которые на половину из истерик украинских поцреотиков состояли.
",1.0,0.0
"Отдыхали там в позапрошлом году, как раз неподалеку от гостиницы Псоу. Арендовали частный дом, 4000 сутки, нас четверо. Часто ходили на рынок, покупать сувениры, специи и ТД. Нормально там поторговаться можно. За специи скидывал цену на 30 , в подарок выпросил банку аджики и бутылку ткемали) рядом торговали овощами, часто тоже скидывали цену. Если есть немножко наглости, довольно легко торговаться. Так что вполне себе неплохо можно отдохнуть. Море кстати чистое было, сентябрь. Проблем со здоровьем не было. Кстати, предоплату просили за два дня проживания, оплатили, никаких проблем
",0.0,0.0
"Почему не поехал туда легально? Почему не уважаешь законы страны в которой жить хочешь? ПС. Вопрос не к автору, в вообще кто знает США. Почему такая большая проблема в границе между США и Мексикой? Почему Трамп хочет построить стену? Почему там не могут организовать границу по нашему принципу (сетки, перекопанная линия, электричество и тд, как точно у нас защита организована не знаю). Ведь граница РФ по длине больше и проблем с её защитой нету, то есть вопрос того что построить такую защиту там вроде не стоит.
",0.0,0.0
"А так? передОхнет передохнЕт
",1.0,0.0
"Странно, у нас тоже оборонка в Питере, и чпушники под 50 получают. А инженеры и того меньше))",0.0,0.0
"что за ноунейм ну постоянно надрачивая на хохлокарлика сложно посмотреть остальной интернет, хех",1.0,0.0
"Ваша агрессия и что мы видим. 1 буханку какого-то колхозника, а может она вообще казенная. Ну и где нищие регионы.
",1.0,0.0
"А как классно летом, жара over 30, холодненькой, даже ледяной окрошечки на кваске, с огурчиками и зеленью! ММММ !!!
",0.0,0.0
"Кароч Фредгитараст нереально переоценённый гитараст в среде гитарастов-нубов. Это просто чел, который научился играть тупые метальные риффы в размере 4 4 ровно и типа с гвоздями . Как музыкант (т.е. человек, который имеет определенное мышление и слух, способен сочинять, импровизировать, играть сложную ритмически замороченную музыку и прочее, что умеют реально топовые исполнители) - Фредхытарыст полная хуета, я понять не могу, как можно офигевать с чувака, который играет по 3-4 секунды одни и те же вертушки или последовательности квинт (что в уроках, что на стримах) или пилит отечественный говнометалл типа немного спрогрессировавшей Арии? Особо угараю с того, что типа через топового преподавателя гитары Фреда прошло пять тыщ учеников , только почему-то на его конкурсах гитарных с горем пополам можно выбрать одного-двух сносно играющих чуваков. Неужели из всех этих тысяч учеников нет пятидесяти человек, которые научились играть и хотели бы поучаствовать во Фредовских конкурсах? Кароч, моё мнение, Фред - это форумная хуита, далёкая от музыкального мира, которая потренировалась немножко, научилась паре гитарных фишек и сразу бросилась выжимать деньги со школьников за уроки. Отчасти говорит (вернее, говорил) правильные вещи, и был очень удачный формат видеоуроков, но большинство этих вещей всякому профессиональному музыканту и так понятны. А теперь вообще на канале одни стримы, где мусолится одно и то же, редко возникающие тухлые конкурсы ну и всё. Все, кто поддерживают этого говнаря (идеологически) и считают его богом гитары - имхо, идиоты.
",0.0,0.0
"Перень с очень нефиговой рекламой, сильно сомневаюсь про 3-5 клиентов.
",0.0,0.0
"это наш местный дурачок из фага
",1.0,0.0
"скажи спасибо, что они забыли про ее грудь",0.0,0.0
"Да я не против травли уебков, но против травли обычных людей. В чем проблема то дебил блять ?
",1.0,0.0
"Надо же сколько поклонников их творчества на пикабу оказалось. Старпёры расчехлили свои минусомёты...
",1.0,1.0
"рекомендует книгу Черный лебедь ? ебать он дебил
",1.0,1.0
"Единственная цель детей богачей, кичащихся своим богатством в Instagram, заставить остальных людей ощутить разочарование в собственной жизни. Что за дебил писал статью? Всем похуй на нищеблядей, люди меряться между собой способами их унизить, а то что навальнята и прочее отребье думает их не ебет
",1.0,0.0
"Из своей практики, пришел в магазин, как раз мвидео, покупать бритву и там была акция дескать если дешевле нашли, то сделаем скидку, ну думаю ладно, посмотрю. Был товар дешевле в эльдорадо, я показываю значит этому консультанту типа вот, тут дешевле, можно скидку? И тут начинается, типа я сейчас занят позову другого, потом тот позвал третьего в итоге 4 чел сказал что моей инфы не достаточно и он проверит сам. Итог я послал их все далеко и надолго (3 первых чела занятых, отошли буквально на пару шагов и базарили между собой) и ничего там не купил.
",0.0,0.0
"Ебать у тебя бомбит. Ты мороженку приложи, что ли, а то спалишь себе дымоход, как потом с твоими друзяшками из вашей демшизы дружить будешь ?
",1.0,1.0
"в пятых, на яблоке есть предустановленная почта, зачем еще одну скачивать?
",0.0,0.0
"мб что-то произошло Секс конечно, очевидно же.
",0.0,0.0
"А мне можно тоже аву от модератора, пожаааалуйста)
",0.0,0.0
"круто, но себе бы не стал делать никакой гарантии что подсунут китайскую поддельную арматуру, и всё развалится
",0.0,0.0
"С вазом всегда так было... ну не на 300тр, но на 100 минимум дороже чем в рекламе (приору отец так покупал). Иначе, видимо, совсем не продать. Даже гибки на кузове в виде Х не помогают. Ну а веста примерно 900 и стоит сейчсс. Странно ожидать ниже на 300 тр цену
",0.0,0.0
"Конечно не слышат, они же в воде, а музыка - над водой
",0.0,0.0
"Для детей. Совсем другая атмосфера, им очень нравится. Это, можно сказать, стало нормой во всём мире очень давно.
",0.0,0.0
"С того, что тупикал Китай хач, а тупикал Япония - урус. Потом проорал с белков корейца. Лучше соус дай.
",1.0,0.0
"Мочерня - сам тот еще хуй, не реагирующий на репорты.
",1.0,1.0
"Старая КВНовская шутка: почему лат дороже доллара? Потому что латов меньше! Так в абсолютном выражении мужиков водителей больше, вот и всё!
",0.0,0.0
"После маски,лицо жмет
",1.0,1.0
"Очередная шлюха, которая отказывалась понимать, что ей уделяют внимание исключительно ради ебли, других причин с ней контактировать просто нет. Либо понимала, но рассчитывала объебать и просто побухать за чужой счет.
",1.0,1.0
"Не забыл, технически в Москве 6 аэропортов 4) Жуковский (Раменское) пока носит статус экспериментального объекта. Оттуда мало кто вылетает... в основном одна Ural Airlines 5) Остафьево (находится близ района Южный Бутово), раньше это был аэродром военного назначения. Позиционирует себя как аэропорт бизнес-авиации , поэтому о нем знают немногие(если Вы на частном самолете не летаете). 6) Чкаловский значится, как военный аэродром.
",0.0,0.0
"Светов изначально был поддержан уважаемыми у кряклов эмигрантами вроде Дурова и Чичваркина. А Свин уже давно сделать самое грязное что можно представить - призывал могилизироваться на домбабве. А в медийном поле и дальше пропагандировать домбабве это очень стремно. Там с одной стороны все сомневающиеся и симпатизирующие руским креаклы отвалятся навсегда, а останутся реальные любители прямого действия в стиле бонов из нулевых. И от такой хуйни можно много до чего договориться. А все эти антилевацкие интернет воины это конечно никем не уважаемая, но на деле никак не дискридитирующая тусовка. Об того же Понаса испачкались и дожди и федеральные сми, и радио свободы и навалы и демшизоидные блогеры. А он и по стилистике и по сути говорит вещи пожестче.
",1.0,0.0
"наверное всех манит бар Стопка, а хунямой уже выбора нет - приходиться закусывать
",1.0,1.0
"Ты в глаза долбишься? Я об этом и написал. Нахуя ты свой пост задвачевал?
",1.0,1.0
"Самое занимательное, что Китай сейчас чуть не единственная страна с чистым капитализмом в экономике. В остальных развитых странах либо Корпорации, либо леваки с велфером для всяких нигр, а обычно и то и это.
",0.0,0.0
"с чего вы взяли, что нужно много тратить на питание?
",0.0,0.0
"Прибыл в районе 500тыс Тенге (100тыс рублей)
",0.0,0.0
"Не понял а зачемя японию отдельно выдедили? Или япония не входит в состав всей планеты?
",0.0,0.0
"Бедная собака. С квадратиками на морде тяжело жить.
",1.0,1.0
"А что такого? Двести рублей в год за спокойную жизнь жалко? Из блокировщиков которые я пробовал только AdGuard блочит рекламу в почте майл ру.
",0.0,0.0
"Я бы не сказал что это сильно затратно. Пару месяцев поскладывал мелочь в копилку и приобрел аквариум. Потом рыбок постепенно докупал.
",0.0,0.0
"Бляяяяяя, он опять порвался, что совок унижают
",1.0,1.0
"Ну хз, мне лично нравится читать гневные отзывы на те или иные организации на пикабу, тут довольно большой выбор. Дело вкуса. Не нравится - так не читайте же.",0.0,0.0
"У меня мама во время беременности одни мандарины ела, в итоге я их обожаю, но у меня на них сильнейшая аллергия, печаль(
",0.0,0.0
"ага. движуха. всем муслимским кавказским обезьянам тоже скоро бошки отрезать начнут.
",1.0,0.0
"Уточняю- ощущение такое что ты блеванул на клавиатуру.
",1.0,1.0
"И добавлю, что важно понимать отличие монополии от абсолютной монополии , ибо последняя крайне мало вероятна в природе, как и абсолютная конкуренция которая вообще по своей сути представляет коммунизм в чистом виде .
",0.0,0.0
"Все это на этой же гифке, только за кадром, но если б камера повернулось, то там бы картель бандосов учинял бы вендетту в трущобах над беспризорниками
",1.0,0.0
"Чето ты пиздишь схуяли на равнине крепости бы стояли?
",1.0,1.0
"пошли с мужем в спб на салют,не помню какой праздник был,но сам факт как только начался салют все вытащили телефоны начали снимать. нихера не видно из-за них,а главный вопрос зачем??
",0.0,0.0
"на Хабре твой пост, MR VF ?
",0.0,1.0
"Если бы твой пытливый ум действительно хотел понять тайны мироздания это одно, но ты задаешь эти вопросы только для того что бы оправдать веру в своего вымышленного идола.
",0.0,1.0
"Пешеход не является опасностью в дорожном движении, у него ни массы ни скорости не хватит что бы навредить автомобилю или ещё кому. Вот вышел пешеход на дорогу - какой вред он приносит просто не спеша переходя её? - никакого. А какой вред наносит пешеход когда его сбивает автомобиль? - тоже никакого, потому что сбивает автомобиль и вред наносится автомобилем пешеходу. Вот и получается что пешеходов тупо не за что штрафовать, они же не вредят. А вот тех кто вредит надо и штрафовать и налогами нагружать по полной. Чип в башку и глонас на запись, чтоб штрафы не пропадали...",0.0,1.0
"Бля, то, что раньше было обычным делом, сейчас считается отличной работой.
",0.0,0.0
"Я дико извиняюсь .Но в какую тему мне идти б лд ... Папа А от каких обезьян , негры появились , Не пизди . Негры от обезьян появились
",1.0,0.0
"Не придумала, как завуалировать намек на ошибку, поэтому только до мидий докопалась)
",0.0,0.0
"Я не задумывался именно о том чтобы создать резонанс в СМИ, как я писал я могу скинуть ноябрьское заключение от РКБ (удалить почку), и уже февральское от НИИ Лопаткина (отчет о проведенной операции), но становится звездой ТВ или газет желания лично у меня нет, думаю моя мама тоже не захочет. Моя цель была донести что местные врачи это не последняя инстанция и дорогостоящее лечение можно получить совершенно бесплатно, нужно только постараться.
",0.0,0.0
"Смысл аппеляции именно в том, чтобы отменить судебное решение о списании долга
",0.0,0.0
"А, и еще есть Изакая Эн, на Эгершельде. У них немного другая кухня, больше шашлычков, роллов и салатов, на Хоккайдо такое обычно делают.
",0.0,0.0
"К слову, в ЭВМ только одно слово не заимствованное)
",0.0,0.0
"Фи, истерить на дваче нехорошо.
",1.0,1.0
"Это колхозы. Которые в некоторых регионах привели к голоду а по всему союзу к закрепошению сельского населения. Активное развитие сельского хозяйства (особенно в среднеазиатских республиках), переход с конских плугов на тракторные, освоение целины и полей, сталинские трактористки - это могло привести к голоду?
",0.0,0.0
"Господин Киселев, остановитесь
",1.0,1.0
"Что язь, что Калипсо..все одно Китай. А то, как будет показывать камера на глубине, зависит от многих факторов. В первую очередь от количества света. Если солнце, то и видно будет лучше. От прозрачности воды. Она в разных водоемах разная. И от подсветки самой камеры. Чудес не бывает. На глубине темно. А если на улице сумрак, да прозрачность воды так себе, мало что увидишь любой камерой. Только то, что под лункой.
",0.0,0.0
"Моя мать пенсионерка уже 10 лет. Так что мимо, петушок сисянский.",1.0,0.0
"Бывало, люди гибли по вине животных. Среди древних находок есть прокусанные черепа например, череп неандертальца из Кова-Негра с двумя дырочками от клыков. Но это исключения. А вот костей хищников на стоянках первобытных людей полным-полно. -Видите-ли в чем штука.... Звери не устраивали костровищ и погребальных пещер . Но если бы они были, то я уверен, что на 1 убитого саблезуба там бы приходилось 100 полумакак. Отсюда вывод-саблезубы были круче полумакак.
",0.0,0.0
"До ближайшего леса минут дцать пешком и всё равно будешь как на оживлённой улице. По грибы сходить - часа три на ОТ или два на машине. Искупаться более менее нормальное место - 1,5 часа и 1 час соотв. И во всём остальном как большой муравейник. Ходишь по бетонным каньонам с грязью по щиколотку (т.к. всё засыпано реагентами). Два часа ехал двадцать км на машине? Так это норма... полтора часа до работы? Это быстро добрался... Квартира в жопе (40 минут до метро на ОТ) стоит 3,5 ляма за 30 кв метров (хрущёвка без ремонта) - очень дешево, бери!... А так да...
",0.0,0.0
"Мне кажется, что не чувствуется натуральности. Что это именно вещь которую носят, а не одевают ради дубля. Все костюмы и элементы слишком полированные, слишком чистые и идеальные, складывается впечатление, что каждый кадр они надевают новый костюм, а старый тут же в чистку.
",0.0,0.0
"Взять того же just илью. Мож он и норм, но количество хуйни невпопад было запредельным. джаст хуйня Киностримы с этой свинотой плебейской слушать невозможно. Маргинул проявляет фантастическую деликатность к этому пидору, у которого познания в фильмах ещё более хуевые, чем у конины. Лучше бы Кэбота звал, да кого угодно, хоть пиздючего ПИКУЛИ , чем этого убогого васяна подпивасовича. Феноменальный кринж от этой антропоморфной рецензии с кинопоиска.
",1.0,0.0
"Сколько летаю - постоянно вижу подобные ситуации. Запомните раз и навсегда: Вы должны быть у гейта ко времени, указанному в посадочном талоне. И наплевать на то что рейс откладывается, переносится и или вообще отменяется! Стойте у гейта и ни шагу назад! Представьте что Вы - царь Леонид и за Вами Спарта! Стойте и ждите!!! Леонид не ждал персов в соседнем ущелье, потому что в главном было неудобно... Он стоял до конца! Это Россия... Тут может случится что угодно! Измениться гейт, не сработать система оповещения, или (как например во Внуково) она может просто не воспринятся ... Сколько раз за собой замечал, что просто не слышу тот бубнеж, который объявляют по громкой связи. Х.з. с чем это связано, но он просто идёт фоном и не воспринимается... И не пытайтесь разжалобить или запугать сотрудников авиакомпании - за 20 минут до посадки они не пустят НИКОГО, уж поверьте. Если сказали что не пускают - смиритесь и срочно (до взлёта самолёта) переоформляйте билет. Искренне сочувствую...
",1.0,0.0
